GeneID	S0h1	S0h2	S0h3	S1h1	S1h2	S1h3	S2h1	S2h2	S2h3	S3h1	S3h2	S3h3
Scml2	78.96246093	80.27611594	82.26258861	73.02643688	67.36494718	69.61108357	27.57380145	32.71905833	37.91342799	20.66478227	20.19828403	22.77071352
Klf6	149.9392765	151.3715898	151.3818011	43.70720946	47.50270117	53.35983881	35.34418049	37.48417001	43.66983009	36.96042189	36.45126434	37.85302657
Scmh1	40.14609961	42.06342923	40.64478374	14.53124509	15.26558725	17.24227848	13.9338766	15.15324179	16.83084226	15.67069219	17.40727553	16.02858979
Tbx2	6.338289772	9.236714768	8.431926871	257.4393301	228.615256	158.4051472	134.4882439	115.8375587	100.5743617	31.80025443	30.56109035	35.34169382
Tbx4	1.270230573	0.501466395	1.662442462	88.91303383	73.26301319	87.00687388	39.62132596	39.34158404	46.54672351	26.14034676	21.36689523	23.44324474
Tcfe3	3.926955994	3.070035424	3.464397525	1.564699713	1.774083352	2.316585526	1.100230089	1.152640031	1.436795492	0.788964292	0.754503865	0.726956051
Lhx2	1.070254292	1.318259304	1.942330435	0.598630738	0.54435969	0.309714883	0	0	0.058856392	0	0	0.062725506
Trim25	0.428299454	0.366352278	0.647742529	2.994536207	4.220736233	1.807504642	5.841478543	4.461208688	2.796969936	1.455020438	1.002188241	1.176646471
Mnt	7.651663998	6.617685879	8.957633803	93.74046904	94.23295474	76.85027717	46.12038772	44.80734234	40.75402231	27.80744018	27.99583559	30.04193247
Bcl6b	0.628583012	0.667449662	0.753958373	0.348557575	0.523669441	0.365895049	0.114719819	0.155704677	0.26819694	0.08590788	0.110658551	0.238189772
Dazap2	0.136463329	0.233451856	0	0.572465421	0.650708107	0.534765249	2.166761077	1.078315038	1.078774005	0.270429663	0.290285309	0.849771368
Myf5	5.263411049	5.764190997	4.999242347	1.408522439	1.695743733	1.984336055	1.894513392	1.834437414	2.447844195	2.6829351	2.704023642	2.72308926
Pparg	1.276693884	0.997079096	1.122813495	0.485122036	0.502901348	0.368116672	0.225990092	0.259184672	0.267099856	0.188573436	0.684850902	0.325324025
Zfp385a	117.1058343	106.1292502	127.0783127	83.64595148	78.54256223	88.07475274	57.67769398	38.72364002	44.14899685	39.88810286	35.97524237	49.79804101
Sox9	0.215060298	0.214614177	0.162624187	0	0.045577236	0.043218814	0.029185655	0.025748149	0.024639147	0	0	0.131294401
Hnrnpd	4.718187706	6.105134215	5.925091094	0.757379777	0.642802307	0.326539348	0.264614334	0.4409571	0.198571566	0.184002293	0.430137717	0.634875915
Hoxb6	5.007122157	5.028360299	4.409342339	2.32649673	2.558844026	2.560175626	1.741788128	1.616316717	2.102205099	1.336773092	1.442626714	1.091179418
Kat2b	106.4113648	138.727785	153.4212355	112.7319575	89.55389253	65.8710675	72.48805188	55.99744478	34.05818779	47.39675145	47.75175284	52.92527095
Dnmt3l	62.04515955	52.40473072	55.05598867	10.79393472	13.62385923	15.29713366	11.14308006	13.60896493	15.36624789	20.70850451	20.67798001	18.76685202
Aire	0.238535839	0.095216408	0.072150364	0.022236909	0.010110471	0.009587298	0	0	0.010931482	0.009003942	0.013531049	0
Polr3d	20.38137449	14.98417418	15.98515014	31.56203084	36.73256128	30.66824342	9.257896573	11.07149348	10.3051609	4.57782997	5.732937111	5.799801956
Tcf7	3.453030388	2.836857544	2.580148981	21.12708323	24.2307302	28.59412953	18.12790203	21.88811505	26.71062304	24.52771684	24.60433327	24.16705538
Znf512b	0	0	0.037496326	0.156012134	0.346789144	0.239159514	0.302820681	0.231533687	0.460165712	0.252683362	0.316442033	0.308780559
Fmr1	377.3223913	379.615843	363.8480413	248.5980032	253.8921841	229.5692788	225.1149581	232.2376507	205.2179766	207.8410046	204.239417	227.5979745
Bcl11a	6.891201002	8.081492655	6.481507696	2.979398386	3.049886668	3.772901487	1.824134103	1.626778585	1.858010366	2.424264565	2.17553898	2.497489813
Smarcb1	138.5659971	141.7585251	149.7257427	37.77649751	32.49769646	25.97637824	17.07494894	13.65161387	11.57707314	13.93869019	13.04769894	12.5781706
Hoxa10	10.08228296	10.02194006	10.0005791	3.550977547	3.884452152	4.365569006	3.623666567	3.576158143	4.217169021	9.509579074	8.66440253	8.362527712
Hoxa4	0.976561419	0.795539299	0.879113951	0.390160735	0.65044704	1.233578537	0.037865241	0.167027234	0.063933273	0.026329984	0.079136958	0.136272263
Ilf2	2.060596263	2.462402115	2.108126746	0.593231323	0.655046161	0.675957793	0.789576887	0.609507484	0.583255306	0.960820686	1.392344947	1.19879511
Zfp276	1.952806921	2.128364871	2.252057953	1.093741465	1.346137661	1.398854342	0.860582485	0.859781763	0.894921039	1.301849553	1.188138559	1.069124715
Mxd1	0.613069963	0.917697317	0.463590934	5.572312168	7.113476491	3.696101583	3.119970654	5.284796887	5.900037147	3.384425638	5.0860865	4.154502062
Sp1	0.1795292	0.230344438	0.203634449	11.98727628	10.24421174	10.03882479	5.189480714	7.093079074	8.206791747	3.354434823	2.673266355	3.156556341
Rarg	0.123306957	0.052736216	0.069931644	0.797464504	0.7643657	0.929247614	0.727924004	0.887991847	1.112509082	0.593440018	0.577057857	0.479903295
Mef2d	7.540151463	6.502554124	7.305679131	29.89089266	30.1177406	27.7464121	22.27813509	24.17766571	24.62545209	21.29666109	20.20244704	19.81294657
Snd1	164.3537225	190.1755584	200.8345428	173.9502837	165.1793114	145.7065689	92.08643248	76.0697545	78.52716597	71.65682216	72.05438081	84.18570593
Tbx21	266.6767909	268.8817407	272.9598582	58.16980396	51.80651733	34.67700568	18.30812855	17.34125717	9.105924678	5.625212942	3.855992898	6.639942841
Meox1	2.688587506	3.088679224	3.094101553	17.80985357	17.98569602	16.81247096	15.93958341	16.58565229	14.40759638	10.88744918	10.40305138	9.546383918
Pax9	0.475034999	0.866833531	0.598686208	0.619975358	0.583903852	0.515503922	0.206293142	0.454989486	0.413622945	0.932412346	0.754503865	0.626419576
Irx2	126.8962374	134.7239808	138.854931	142.6971107	125.0226843	110.233028	77.26564185	78.47856633	85.60126273	77.57627959	68.76602387	83.39766868
Dlx3	11.8600049	12.43199989	11.59006272	3.885046225	4.97908683	4.57487742	1.555311214	1.920975835	1.981476494	1.494438594	2.275380194	1.831866685
Foxm1	0.109444475	0.11701869	0.227589087	0.019130041	0.017395738	0.049486754	0.022278929	0.039309803	0	0.030983764	0	0
Tulp3	17.42680843	17.81049921	17.50229126	14.21814284	14.24610881	15.98484958	6.618271083	7.16178905	8.091502028	5.925340854	6.421699726	6.129426048
