Read,map
18.639244,Mapped
17.684332,Mapped
19.581905,Mapped
20.734047,Mapped
19.642676,Mapped
17.469565,Mapped
15.781967,Mapped
17.827451,Mapped
17.633519,Mapped
18.893283,Mapped
20.002873,Mapped
22.437154,Mapped
24.604905,Mapped
24.385712,Mapped
18.570062,Mapped
28.208984,Mapped
22.327583,Mapped
22.59393,Mapped
18.480695,Mapped
16.057762,Mapped
17.40715,Mapped
20.041162,Mapped
19.155554,Mapped
18.902489,Mapped
17.14545,Mapped
16.6975,Mapped
18.444892,Mapped
17.447494,Mapped
16.076779,Mapped
18.36151,Mapped
16.159272,Mapped
19.537864,Mapped
20.593503,Mapped
20.295277,Mapped
17.675164,Mapped
17.237092,Mapped
16.64908,Mapped
21.201538,Mapped
18.067089,Mapped
15.295053,Mapped
17.815051,Mapped
15.363669,Mapped
18.836276,Mapped
17.731583,Mapped
16.426251,Mapped
15.980284,Mapped
20.656985,Mapped
23.755927,Mapped
17.017982,Mapped
19.238835,Mapped
16.119703,Mapped
18.7038,Mapped
17.096811,Mapped
17.045505,Mapped
23.345035,Mapped
18.602708,Mapped
16.055438,Mapped
19.292191,Mapped
17.119776,Mapped
17.844392,Mapped
20.089509,Mapped
19.234476,Mapped
20.032052,Mapped
19.479532,Mapped
19.163863,Mapped
18.437833,Mapped
15.57746,Mapped
17.497408,Mapped
20.660706,Mapped
16.118766,Mapped
19.598855,Mapped
16.268708,Mapped
16.622481,Mapped
25.631905,Mapped
18.105442,Mapped
19.229362,Mapped
17.992363,Mapped
17.544534,Mapped
17.581472,Mapped
16.243652,Mapped
19.269888,Mapped
16.955793,Mapped
17.861973,Mapped
19.000912,Mapped
19.819324,Mapped
18.918621,Mapped
20.721807,Mapped
17.593318,Mapped
18.580094,Mapped
19.556815,Mapped
16.767517,Mapped
17.393582,Mapped
30.34148,Mapped
16.379531,Mapped
16.388716,Mapped
16.52194,Mapped
16.722403,Mapped
18.736646,Mapped
16.737395,Mapped
16.261488,Mapped
16.431022,Mapped
19.834857,Mapped
16.854692,Mapped
17.193356,Mapped
17.969266,Mapped
18.406327,Mapped
21.823366,Mapped
16.55078,Mapped
19.299229,Mapped
17.405179,Mapped
19.368962,Mapped
16.356901,Mapped
16.529641,Mapped
16.727131,Mapped
15.923463,Mapped
17.637701,Mapped
20.138125,Mapped
18.395371,Mapped
17.789302,Mapped
20.694939,Mapped
25.973595,Mapped
